peak	gene	zscore	pvalue
chr1-144248681-144249585	Rgs1	10.3583662223152	1.91727829022305e-25
chr1-144250396-144251135	Rgs1	4.31598249726021	7.94472849341895e-06
chr1-144330082-144330998	Rgs1	4.25484396401894	1.0459742360526e-05
chr1-150099536-150100477	Ptgs2	6.3216681608694	1.29377291122999e-10
chr1-151250474-151251399	Ivns1abp	3.71028831258066	0.000103511671740228
chr1-151250474-151251399	Rnf2	3.69967335431105	0.000107938570000298
chr1-151338129-151338776	Ivns1abp	3.37329562105008	0.000371370814771715
chr1-151338879-151339235	Ivns1abp	3.14248958860122	0.000837588353115871
chr1-151490780-151491632	Rnf2	4.06222738646115	2.43033478384308e-05
chr1-151500508-151501380	Rnf2	4.15344379618522	1.63754340805333e-05
chr1-151510839-151511682	2810414N06Rik	8.75632332328155	1.00861265553078e-18
chr1-152524715-152525628	Ncf2	3.69997312726659	0.000107811149051866
chr1-153413981-153414824	E330020D12Rik	5.38512799769202	3.61965563590049e-08
chr1-153748943-153749833	Glul	3.27952545915836	0.000519909138166282
chr1-153899516-153900395	Glul	4.97201732862289	3.31298905260378e-07
chr1-153901241-153901981	Glul	3.67938692806013	0.000116897660184464
chr1-153910135-153910974	Glul	4.75366468156571	9.98811234971064e-07
chr1-153913628-153914544	Glul	5.18763314057732	1.06491824180734e-07
chr1-154008308-154009243	Glul	4.43023401453569	4.70654424701142e-06
chr1-154115863-154116764	A830008E24Rik	3.9770316414944	3.48904413781898e-05
chr1-155050011-155050849	Ier5	3.18562993297973	0.000722196136925413
chr1-155096381-155097223	Ier5	5.92496376946962	1.56183125369028e-09
chr1-155099194-155100067	Ier5	4.37720581171804	6.01052262307455e-06
chr1-156619989-156620865	Axdnd1	5.97784614201717	1.13053564031157e-09
chr1-156640358-156641216	Gm28694	4.04073835345946	2.66415896807295e-05
chr1-156660365-156661351	Gm28694	5.65172015529397	7.94250303348919e-09
chr1-157537561-157538330	Gm28694	4.81179845319921	7.47890780149547e-07
chr1-160306773-160307567	4930523C07Rik	5.48094917040221	2.11525011182812e-08
chr1-160308644-160309579	4930523C07Rik	5.80164450509165	3.28338345509925e-09
chr1-161766748-161767655	Fasl	5.07191820760587	1.96912831435537e-07
chr1-161788070-161788942	Fasl	17.7361076839234	1.1035182379724e-70
chr1-161907582-161908579	Fasl	4.34304657880467	7.02601631862912e-06
chr1-161921631-161922470	Fasl	3.34806346464441	0.000406891866780538
chr1-164457906-164458824	Sell	5.55987886340021	1.34980979675986e-08
chr1-164341805-164342699	Nme7	4.85988872453266	5.87258750803133e-07
chr1-166939850-166940780	Fam78b	6.57229325569378	2.47730784849829e-11
chr1-167491658-167492496	Fam78b	4.94111782078878	3.88379749001438e-07
chr1-167259437-167260313	Uck2	5.03904873215959	2.33925679945132e-07
chr1-170714079-170715042	Gm26620	5.72089248193587	5.29829707709995e-09
chr1-172523475-172524304	Cfap45	4.49826389780649	3.42553119710363e-06
chr1-173490739-173491711	Mndal	4.77638218743285	8.92385187059298e-07
chr1-173490739-173491711	Ifi203	5.96636419165824	1.21299239141567e-09
chr1-173673311-173674254	Mndal	4.22972604726484	1.16988034145219e-05
chr1-173736667-173737640	Mndal	3.52166306671723	0.000214424412168526
chr1-173740266-173740984	Ifi204	5.98169603167924	1.10413040937625e-09
chr1-173740266-173740984	Ifi203	5.46265898327086	2.34527564921673e-08
chr1-173740266-173740984	Ifi205	4.86710145509789	5.66234501851845e-07
chr1-173741655-173742013	Ifi204	4.76684345863342	9.35672964121119e-07
chr1-173741655-173742013	Ifi205	6.3662400186682	9.68591070916712e-11
chr1-173766620-173767502	Ifi204	8.84584403985521	4.54195276684736e-19
chr1-173912632-173913487	Ifi204	9.71924401737951	1.24813945230599e-22
chr1-173766620-173767502	Ifi203	4.06172440504437	2.43557813565167e-05
chr1-173942130-173942967	Mndal	6.29986526381249	1.48952243149482e-10
chr1-174031384-174032306	Mndal	3.51368962179793	0.000220964431223049
chr1-173942130-173942967	Ifi203	8.17983937755446	1.42111240162161e-16
chr1-174031384-174032306	Ifi205	4.79421064883955	8.16582991025107e-07
chr1-175857110-175858088	Opn3	4.43984254211743	4.50123598418853e-06
chr1-176618202-176619172	Pld5	3.32461224579743	0.000442707920160695
chr1-177367698-177368562	Akt3	4.23933030187936	1.12093795777929e-05
chr1-184643115-184644001	Hlx	4.34597358762773	6.93296273492725e-06
chr1-187608925-187609869	Esrrg	3.99109084239796	3.28850398745445e-05
chr1-189659541-189660394	Cenpf	5.00646146013717	2.77198778613168e-07
chr1-190989373-190990265	Nsl1	4.34367165953206	7.00604467152783e-06
chr1-191163183-191164103	Atf3	3.77452862511078	8.01552502897217e-05
chr1-191172166-191172967	Atf3	11.380703240968	2.60886368347464e-30
chr1-191182947-191183854	Atf3	5.66360545345268	7.41125033787015e-09
chr1-191185540-191186472	Atf3	3.98484157298868	3.37625808080131e-05
chr1-191200945-191201854	Atf3	5.15840914255441	1.24528457069369e-07
chr1-193263786-193264548	Hsd11b1	3.56446161360345	0.000182301901604504
chr1-194651720-194652603	Plxna2	14.66952943038	5.0521681890484e-49
chr2-3161185-3162020	Meig1	5.19120217673073	1.04470296418605e-07
chr2-6278703-6279642	Gm13383	4.93698186718237	3.9670422373211e-07
chr2-9905771-9906704	Sfmbt2	4.7711912876293	9.15697545723706e-07
chr2-9965399-9966301	Taf3	4.45509225115643	4.19285644629735e-06
chr2-11169472-11170329	Prkcq	6.00107311626066	9.80088463189162e-10
chr2-11169472-11170329	Il2ra	6.22331206345582	2.43383908600377e-10
chr2-11186908-11187724	Prkcq	6.03245520706179	8.07435569396728e-10
chr2-11642148-11643028	Prkcq	5.73422302437575	4.89801811769413e-09
chr2-11653134-11654063	Prkcq	5.92234416454126	1.58692258464747e-09
chr2-11764809-11765648	Gm13293	4.38074421299375	5.91373245349946e-06
chr2-11642148-11643028	Il2ra	5.77210622075945	3.91433686272513e-09
chr2-13013514-13014377	Gm13270	4.51529340287196	3.16145811639108e-06
chr2-13407106-13408005	Vim	9.01781865859395	9.59358030446241e-20
chr2-13558397-13559245	Vim	5.59173203151027	1.12407800256945e-08
chr2-15054744-15055660	Arl5b	3.67236683252796	0.000120157192895452
chr2-16355741-16356590	Plxdc2	3.09907806631	0.000970619311281205
chr2-17671316-17672186	Nebl	7.45172897723228	4.60624143451969e-14
chr2-19447819-19448788	4930447M23Rik	5.56466995798146	1.31324516475345e-08
chr2-19665631-19666540	Otud1	4.37085219381955	6.18812763723099e-06
chr2-22790163-22791055	Apbb1ip	3.55915603105072	0.000186024228518511
chr2-23039784-23040648	Acbd5	4.45923585186365	4.11261862617006e-06
chr2-25072150-25072995	Zmynd19	5.73389167088888	4.90760169637138e-09
chr2-24975684-24976493	Pnpla7	3.21872144288877	0.000643817523839518
chr2-25420179-25421015	Mamdc4	6.84492272620118	3.8258581651916e-12
chr2-26661135-26661998	Slc2a6	7.27861560589507	1.68631574853646e-13
chr2-28192604-28193520	Olfm1	6.11601504530227	4.79721354973256e-10
chr2-28369719-28370653	Olfm1	5.30992449504003	5.48353301038666e-08
chr2-28435207-28436053	Gm10134	4.77571915583021	8.95330778988259e-07
chr2-29652779-29653731	6530402F18Rik	5.09620678903043	1.73263300052756e-07
chr2-30196482-30197399	Cercam	4.45184623709848	4.25675609979634e-06
chr2-32765392-32766291	Fpgs	4.84396913962353	6.36353543038816e-07
chr2-33215508-33216391	Zbtb43	4.14428661896743	1.70436593743312e-05
chr2-33432749-33433585	Angptl2	5.37160185796219	3.9020132865474e-08
chr2-34771515-34772414	Gapvd1	3.14594201171935	0.000827764130834481
chr2-34779286-34780160	Hspa5	4.83417684350183	6.6848848083993e-07
chr2-34779286-34780160	Fbxw2	4.82150404810841	7.1239914511854e-07
chr2-34957889-34958654	Traf1	8.64437328941223	2.70507071121255e-18
chr2-35729361-35730240	Dab2ip	6.36966282298463	9.47221045792709e-11
chr2-45197099-45197943	Zeb2	4.26442572180547	1.00208500085255e-05
chr2-51400182-51401132	Rnd3	5.84141542899927	2.58795764058085e-09
chr2-52784900-52785795	Cacnb4	4.24465051060228	1.09467188213337e-05
chr2-57576415-57577352	Nr4a2	6.48720417016835	4.37219034464833e-11
chr2-58134981-58135913	Cytip	6.1771796787282	3.26283966700083e-10
chr2-58156696-58157629	Cytip	5.52061085728452	1.68911591429996e-08
chr2-58159657-58160472	Cytip	4.47638296381152	3.79591271676695e-06
chr2-58183599-58184505	Cytip	5.0740414627256	1.94727068773624e-07
chr2-60877583-60878494	Rbms1	4.81235258705889	7.45819456380045e-07
chr2-62390723-62391566	Dpp4	4.44691159694947	4.35568332439513e-06
chr2-65668178-65669123	Cobll1	8.84962492926794	4.39069570486162e-19
chr2-67565382-67566204	B3galt1	6.18297569860036	3.14522005487217e-10
chr2-68382142-68383094	Stk39	4.04736445717293	2.58987790170737e-05
chr2-68430300-68431192	Stk39	7.1734600124492	3.65628093689545e-13
chr2-68465546-68466455	Stk39	9.25755590393993	1.04582553921112e-20
chr2-71672753-71673599	Rapgef4	5.70269593034503	5.89636189636601e-09
chr2-71744526-71745437	Itga6	3.46312800480025	0.000266967160687318
chr2-75875385-75876356	Ttc30b	4.95310962605143	3.65183998436677e-07
chr2-76362616-76363301	Ttc30b	8.03842633309444	4.54997703228021e-16
chr2-78961402-78962360	Itga4	6.02049532466798	8.69420644963167e-10
chr2-79120749-79121631	Itga4	3.22871860445215	0.000621730910992236
chr2-79259192-79260103	Itga4	4.76372451802839	9.5025963959551e-07
chr2-85088541-85089496	Clp1	5.13819545427222	1.38694644077099e-07
chr2-84770181-84771088	Slc43a1	3.69386313405473	0.000110436357441175
chr2-84871892-84872821	Slc43a1	6.27574482429287	1.73982234037062e-10
chr2-92273390-92274230	Mdk	5.8510947017461	2.44174025698343e-09
chr2-92184922-92185850	Gm9821	4.97694273043518	3.22982117428787e-07
chr2-101773749-101774635	B230118H07Rik	4.78336666695092	8.61916267377908e-07
chr2-101908554-101909430	B230118H07Rik	4.56964847706067	2.44271475669399e-06
chr2-102873650-102874508	Cd44	6.14551763814396	3.9851577652706e-10
chr2-103682790-103683414	Abtb2	3.28841810991435	0.000503760449939875
chr2-104095453-104096409	Cd59a	9.38908776493908	3.02610741075404e-21
chr2-113817358-113818218	Scg5	5.14777060115645	1.3180028942908e-07
chr2-116942134-116942982	D330050G23Rik	5.96080343557888	1.25500374772432e-09
chr2-117228444-117229377	D330050G23Rik	5.5617120059706	1.33570443188165e-08
chr2-117341951-117342749	Rasgrp1	8.06483816844141	3.66664715367301e-16
chr2-117438824-117439732	Rasgrp1	5.59048328850661	1.13219239389663e-08
chr2-117475355-117476210	Rasgrp1	6.56541461524116	2.59441397608677e-11
chr2-119024364-119025236	Bub1b	5.48833591205005	2.02868965025396e-08
chr2-118642313-118643053	Knstrn	7.92312692854926	1.1580546699419e-15
chr2-119335944-119336752	Rmdn3	4.56196759468442	2.53382349626076e-06
chr2-119692002-119692915	Sptbn5	3.75100450893538	8.80637660020624e-05
chr2-120150438-120151262	Ehd4	4.8670331246395	5.66430235665842e-07
chr2-120347849-120348762	Capn3	3.29759025861772	0.000487591632298555
chr2-122180169-122181031	Slc28a2	8.35678949102835	3.22240775468758e-17
chr2-122301165-122301971	Shf	4.81373910960622	7.40660844750932e-07
chr2-124740052-124740437	Slc24a5	8.10586046937972	2.61867610980065e-16
chr2-124858114-124858916	Slc24a5	6.63989224744704	1.56956274837278e-11
chr2-125550257-125551187	Fbn1	7.43356645132175	5.28540244374109e-14
chr2-126466384-126467297	Atp8b4	3.79879736810276	7.26999520233999e-05
chr2-126491331-126492163	Atp8b4	3.48282913820089	0.000248072455863531
chr2-126514852-126515747	Atp8b4	3.86096500009946	5.64700412501495e-05
chr2-127000399-127001277	Dusp2	4.30361322005527	8.40174568994226e-06
chr2-127314263-127315169	Dusp2	10.5562238665563	2.37701645302171e-26
chr2-128698353-128699129	Mertk	3.49314976165739	0.000238679356862567
chr2-128806282-128807210	Mertk	3.98740919822569	3.33993785879203e-05
chr2-129309756-129310456	Il1a	6.66850675563158	1.29209579088482e-11
chr2-129313628-129314439	Il1a	4.01623316104191	2.95678756298034e-05
chr2-129373098-129374011	Il1a	4.31700081232902	7.90817882728218e-06
chr2-129513926-129514724	Sirpa	3.57326346062946	0.000176279860135568
chr2-129514842-129515629	Sirpa	3.40741085186346	0.000327911640194093
chr2-130495872-130496799	Itpa	4.73311291356913	1.1055120385823e-06
chr2-130784730-130785591	4930473A02Rik	4.71101148616784	1.2324517090515e-06
chr2-130576175-130576949	Itpa	4.3311181992725	7.41770062818854e-06
chr2-131902655-131903605	Prnp	8.40483445339336	2.14232777949635e-17
chr2-133458479-133459398	Bmp2	7.30066071775071	1.43179004236387e-13
chr2-134634279-134635164	Tmx4	4.98782546882835	3.05313468366071e-07
chr2-134785834-134786645	Plcb1	4.57121748260502	2.42449352919199e-06
chr2-144270242-144271181	Snx5	3.30620336269668	0.000472847121645966
chr2-145888108-145889040	Rin2	5.44411850837411	2.60312759571939e-08
chr2-145957191-145958100	Cfap61	5.51364106130589	1.75742537842215e-08
chr2-148466878-148467793	Cd93	10.0661170693443	3.89984019532785e-24
chr2-150858435-150859211	Zfp345	3.70155258325111	0.000107142117673023
chr2-150549318-150550107	Apmap	3.9139021579687	4.54082233260503e-05
chr2-150830781-150831717	Abhd12	3.10245212003691	0.000959622958434877
chr2-152707313-152708199	Id1	5.42052050548965	2.97128776608425e-08
chr2-152739156-152740053	Id1	5.6312104573047	8.94745996855027e-09
chr2-152785437-152786399	Ccm2l	9.98011718056539	9.31233487348976e-24
chr2-154790580-154791445	Itch	3.33214167113228	0.000430901863393294
chr2-155951766-155952677	Procr	5.09688388493518	1.72644984926746e-07
chr2-155755466-155756334	6430550D23Rik	5.28374933796498	6.32832003677552e-08
chr2-157137648-157138538	Sla2	4.07468755984827	2.30380827271571e-05
chr2-156991658-156992551	Rpn2	3.74225713441252	9.11873799693384e-05
chr2-157078845-157079775	Soga1	3.1881631072578	0.000715898731882178
chr2-158718897-158719830	Ppp1r16b	6.63519252577951	1.62039626612438e-11
chr2-160275750-160276662	Mafb	3.1313627708718	0.000869985411436399
chr2-160358568-160359449	Mafb	5.66896642412876	7.18307566637234e-09
chr2-160360147-160360924	Mafb	5.1822109124452	1.09635530144631e-07
chr2-160361352-160362226	Mafb	5.67790664088218	6.81765472373465e-09
chr2-160366627-160367508	Mafb	4.15367449174528	1.63589253573321e-05
chr2-162939310-162940322	Mybl2	3.64877466969019	0.000131747043290312
chr2-164783813-164784521	Slpi	7.08051463372804	7.18100484475438e-13
chr2-165042737-165043676	Cd40	10.3937206165425	1.32408429631732e-25
chr2-165055063-165055965	Cd40	5.96374262867376	1.23262470404481e-09
chr2-165957113-165958054	Gm11464	3.87540118837579	5.32245851625966e-05
chr2-166022197-166022982	5031425F14Rik	4.38040835338895	5.92285533560607e-06
chr2-166126660-166127562	Sulf2	5.8452685796157	2.52875796431759e-09
chr2-166702688-166703572	5031425F14Rik	5.61723832408118	9.70168541052818e-09
chr2-167382266-167382989	9230111E07Rik	4.73251539477191	1.10877239949361e-06
chr2-168979547-168980153	Gm9873	5.10948464408822	1.61519371816538e-07
chr2-174329512-174330377	Gnas	5.70017346495692	5.98427893286375e-09
chr2-179621531-179622324	Ss18l1	4.67645429941974	1.45938804488629e-06
chr2-181241558-181242481	Helz2	4.73110693175769	1.11649425278907e-06
chr3-8983491-8984414	Tpd52	5.59003262094065	1.13513479264942e-08
chr3-9825722-9826648	Pag1	4.49938202917595	3.40756435649838e-06
chr3-9895710-9896300	Pag1	3.68978946601871	0.00011221985899061
chr3-10146531-10147409	Fabp5	11.8551450390138	1.0118675564027e-32
chr3-14886082-14886977	Car2	15.2120700623581	1.47047230769136e-52
chr3-19450823-19451674	Pde7a	5.69096620040378	6.31612569117166e-09
chr3-19953649-19954559	Cp	6.61041170454337	1.91626325843969e-11
chr3-20422871-20423698	Cp	6.89075270007576	2.77489726317931e-12
chr3-27786246-27786876	Tnfsf10	5.68804378035274	6.4251441273234e-09
chr3-30929591-30930412	Mecom	24.8488618951644	1.33008174375009e-136
chr3-31432950-31433776	Prkci	4.8030022165404	7.81520772401098e-07
chr3-37302435-37303335	Cetn4	3.99433995238901	3.24373630560851e-05
chr3-37708056-37709013	Cetn4	5.16930978403948	1.17480072500748e-07
chr3-39219777-39220562	Fat4	135.063309041189	0
chr3-51520482-51521390	Setd7	4.69957867146838	1.30349390196071e-06
chr3-51583322-51584217	5031434O11Rik	4.43714283483364	4.55804030449725e-06
chr3-53031799-53032678	Nhlrc3	4.83125099493854	6.78389152822128e-07
chr3-55730105-55731069	Dclk1	5.84697153640952	2.50301561479337e-09
chr3-55828580-55829484	Nbea	3.44894394033481	0.000281391763510928
chr3-56183245-56184067	Nbea	3.90326201146819	4.74524332879053e-05
chr3-59005701-59006350	Gpr171	4.87793183367305	5.36019789817723e-07
chr3-59228503-59229386	Med12l	3.59344932802274	0.000163164567051853
chr3-59080653-59081555	Gpr171	4.92871770164762	4.13855347317836e-07
chr3-59113833-59114691	Gpr171	7.37417898940641	8.26804516793307e-14
chr3-59131817-59132666	Gpr171	4.87716115892141	5.38117515668974e-07
chr3-59131817-59132666	P2ry14	5.95961521980792	1.26416272525873e-09
chr3-59219710-59220635	P2ry12	3.99446610594645	3.24200979262534e-05
chr3-65532739-65533662	Tiparp	4.54136756213959	2.79452456458382e-06
chr3-79145326-79146170	Gm17359	8.30684606315475	4.91396552287921e-17
chr3-79183324-79183931	4930589L23Rik	5.31260760208934	5.40337880689645e-08
chr3-83855362-83856243	Mnd1	4.81365608328716	7.40968779347216e-07
chr3-84376677-84377184	Mnd1	4.51153872508769	3.21795150365182e-06
chr3-87263126-87264074	Fcrls	3.73873838731448	9.2473032874432e-05
chr3-87294773-87295689	Fcrls	4.15276807775747	1.64238800456396e-05
chr3-87846344-87847204	Sh2d2a	8.17272915550366	1.50745153350627e-16
chr3-89136177-89137087	Rusc1	4.70045718349689	1.29789840161926e-06
chr3-89156764-89157668	4731419I09Rik	5.78618998446258	3.60003895777992e-09
chr3-89477058-89477949	Hcn3	4.83785307212061	6.56245513348103e-07
chr3-89243526-89244199	4731419I09Rik	5.49305264823463	1.97522479830284e-08
chr3-89359990-89360902	4731419I09Rik	4.85155964858022	6.12471785709114e-07
chr3-89384968-89385936	4731419I09Rik	4.51864284687767	3.1118638645012e-06
chr3-89857887-89858759	Atp8b2	4.69098221276879	1.35948305354413e-06
chr3-90231111-90232052	Il6ra	3.36966167760734	0.000376302627998882
chr3-90125493-90126406	Hax1	3.82755883471679	6.47102273963055e-05
chr3-90598170-90599084	Npr1	6.16155150783747	3.60178157220742e-10
chr3-90589245-90590001	S100a4	5.47302571718006	2.2120793946489e-08
chr3-95356776-95357687	Gm16740	3.84171672748012	6.10883952873517e-05
chr3-95588347-95589261	Setdb1	3.80007782168662	7.23253274820204e-05
chr3-95888409-95889305	Ctsk	4.12412482247164	1.86073524142874e-05
chr3-96474653-96475571	BC107364	3.86442986973289	5.56744876224794e-05
chr3-96557434-96558326	Txnip	4.57727128855328	2.35540188807049e-06
chr3-96559265-96560090	Txnip	4.27537935263979	9.54060552455728e-06
chr3-96562022-96562880	Txnip	6.71825352583836	9.1957752202517e-12
chr3-96569251-96570109	Txnip	5.75935057940905	4.22190834616316e-09
chr3-96906269-96906916	Gm16253	4.26366313769137	1.00551276239172e-05
chr3-98273532-98274443	Gm5544	5.51683962652488	1.72575065274252e-08
chr3-98416120-98416856	Zfp697	4.64480657111328	1.70197614219699e-06
chr3-100285423-100286314	4930406D18Rik	6.29368541771387	1.55007896818928e-10
chr3-100627003-100627931	Gm12474	7.06469849876785	8.04825491390138e-13
chr3-102755446-102756332	Tspan2	19.6334398918466	4.00517242748405e-86
chr3-103386207-103387070	Ptpn22	3.26627973249844	0.000544852731900893
chr3-103393793-103394454	Gm10964	5.70064436578322	5.96777020955602e-09
chr3-103587182-103588226	Syt6	4.72006554539433	1.17884329667504e-06
chr3-103867599-103868470	Ptpn22	7.13190148429633	4.94958600451641e-13
chr3-105066155-105067095	St7l	4.27568507283353	9.52752140501584e-06
