"seqnames","start","end","region_id","cluster_assignment"
"chr10",95414182,95415129,"region_160","Homeostatic.Microglia"
"chr10",95850261,95851171,"region_161","Homeostatic.Microglia"
"chr10",96273734,96274650,"region_162","Homeostatic.Microglia"
"chr10",98897762,98898679,"region_163","Homeostatic.Microglia"
"chr10",99130356,99131260,"region_164","Homeostatic.Microglia"
"chr10",99268255,99269195,"region_165","Homeostatic.Microglia"
"chr10",99430533,99431389,"region_166","Homeostatic.Microglia"
"chr10",99461400,99462098,"region_167","Homeostatic.Microglia"
"chr10",99467165,99468112,"region_168","Homeostatic.Microglia"
"chr10",99632251,99633136,"region_169","Homeostatic.Microglia"
"chr10",99800223,99801130,"region_170","Homeostatic.Microglia"
"chr10",100032368,100033255,"region_171","Homeostatic.Microglia"
"chr10",100138314,100139225,"region_172","Homeostatic.Microglia"
"chr10",100588753,100589659,"region_173","Homeostatic.Microglia"
"chr10",105575068,105575923,"region_174","Homeostatic.Microglia"
"chr10",109975893,109976826,"region_175","Homeostatic.Microglia"
"chr10",110919699,110920612,"region_176","Homeostatic.Microglia"
"chr10",111127137,111128030,"region_177","Homeostatic.Microglia"
"chr10",111411372,111412253,"region_178","Homeostatic.Microglia"
"chr10",111502802,111503724,"region_179","Homeostatic.Microglia"
"chr10",111539660,111540581,"region_180","Homeostatic.Microglia"
"chr10",115328245,115329160,"region_181","Homeostatic.Microglia"
"chr10",116562052,116562899,"region_182","Homeostatic.Microglia"
"chr10",116923851,116924785,"region_183","Homeostatic.Microglia"
"chr10",117149751,117150603,"region_184","Homeostatic.Microglia"
"chr10",117209293,117210195,"region_185","Homeostatic.Microglia"
"chr10",117449483,117450404,"region_186","Homeostatic.Microglia"
"chr10",117676769,117677637,"region_187","Homeostatic.Microglia"
"chr10",117682264,117683172,"region_188","Homeostatic.Microglia"
"chr10",117730995,117731897,"region_189","Homeostatic.Microglia"
"chr10",117829444,117830322,"region_190","Homeostatic.Microglia"
"chr10",117872323,117873223,"region_191","Homeostatic.Microglia"
"chr10",118052962,118053536,"region_192","Homeostatic.Microglia"
"chr10",118102949,118103857,"region_193","Homeostatic.Microglia"
"chr10",118970491,118971394,"region_194","Homeostatic.Microglia"
"chr10",119078982,119079875,"region_195","Homeostatic.Microglia"
"chr10",120201031,120201858,"region_196","Homeostatic.Microglia"
"chr10",120815005,120815915,"region_197","Homeostatic.Microglia"
"chr10",120882151,120882995,"region_198","Homeostatic.Microglia"
"chr10",121305173,121306081,"region_199","Homeostatic.Microglia"
"chr10",121330679,121331585,"region_200","Homeostatic.Microglia"
"chr10",121367028,121367820,"region_201","Homeostatic.Microglia"
"chr10",121473635,121474577,"region_202","Homeostatic.Microglia"
"chr10",122051576,122052517,"region_203","Homeostatic.Microglia"
"chr10",123084958,123085890,"region_204","Homeostatic.Microglia"
"chr10",125324230,125325120,"region_205","Homeostatic.Microglia"
"chr10",125388215,125388838,"region_206","Homeostatic.Microglia"
"chr10",125726453,125727222,"region_207","Homeostatic.Microglia"
"chr10",126502069,126503000,"region_208","Homeostatic.Microglia"
"chr10",127564090,127564800,"region_209","Homeostatic.Microglia"
"chr10",127587498,127588378,"region_210","Homeostatic.Microglia"
"chr10",127602788,127603443,"region_211","Homeostatic.Microglia"
"chr10",127677983,127678651,"region_212","Homeostatic.Microglia"
"chr10",127893512,127894394,"region_213","Homeostatic.Microglia"
"chr10",128014767,128015660,"region_214","Homeostatic.Microglia"
"chr10",128131053,128131960,"region_215","Homeostatic.Microglia"
"chr10",128298001,128298931,"region_216","Homeostatic.Microglia"
"chr10",128322035,128322970,"region_217","Homeostatic.Microglia"
"chr10",128344601,128345514,"region_218","Homeostatic.Microglia"
"chr10",128518555,128519474,"region_219","Homeostatic.Microglia"
"chr10",128779164,128780009,"region_220","Homeostatic.Microglia"
"chr10",128803997,128804553,"region_221","Homeostatic.Microglia"
"chr10",128912973,128913886,"region_222","Homeostatic.Microglia"
"chr6",3201033,3201940,"region_223","Homeostatic.Microglia"
"chr6",5170683,5171554,"region_224","Homeostatic.Microglia"
"chr6",5291225,5292090,"region_225","Homeostatic.Microglia"
"chr6",5361725,5362631,"region_226","Homeostatic.Microglia"
"chr6",5509485,5510403,"region_227","Homeostatic.Microglia"
"chr6",8495020,8495931,"region_228","Homeostatic.Microglia"
"chr6",8504530,8505466,"region_229","Homeostatic.Microglia"
"chr6",8690975,8691882,"region_230","Homeostatic.Microglia"
"chr6",13838432,13839231,"region_231","Homeostatic.Microglia"
"chr6",15758206,15759226,"region_232","Homeostatic.Microglia"
"chr6",17307172,17308081,"region_233","Homeostatic.Microglia"
"chr6",17642478,17643317,"region_234","Homeostatic.Microglia"
"chr6",17654983,17655735,"region_235","Homeostatic.Microglia"
"chr6",17748814,17749694,"region_236","Homeostatic.Microglia"
"chr6",22459172,22460079,"region_237","Homeostatic.Microglia"
"chr6",28622454,28623308,"region_238","Homeostatic.Microglia"
"chr6",29729233,29730150,"region_239","Homeostatic.Microglia"
"chr6",29758211,29759134,"region_240","Homeostatic.Microglia"
"chr6",29925405,29926287,"region_241","Homeostatic.Microglia"
"chr6",29998542,29999461,"region_242","Homeostatic.Microglia"
"chr6",30210526,30211440,"region_243","Homeostatic.Microglia"
"chr6",30275170,30276073,"region_244","Homeostatic.Microglia"
"chr6",30340173,30341060,"region_245","Homeostatic.Microglia"
"chr6",30468457,30469315,"region_246","Homeostatic.Microglia"
"chr6",30855719,30856618,"region_247","Homeostatic.Microglia"
"chr6",31016333,31017219,"region_248","Homeostatic.Microglia"
"chr6",31065184,31066070,"region_249","Homeostatic.Microglia"
"chr6",31078122,31078937,"region_250","Homeostatic.Microglia"
"chr6",31169264,31170090,"region_251","Homeostatic.Microglia"
"chr6",31233028,31233947,"region_252","Homeostatic.Microglia"
"chr6",32395149,32396065,"region_253","Homeostatic.Microglia"
"chr6",32504690,32505608,"region_254","Homeostatic.Microglia"
"chr6",32780416,32781349,"region_255","Homeostatic.Microglia"
"chr6",33310736,33311671,"region_256","Homeostatic.Microglia"
"chr6",33400921,33401841,"region_257","Homeostatic.Microglia"
"chr6",33515065,33515960,"region_258","Homeostatic.Microglia"
"chr6",34867403,34868227,"region_259","Homeostatic.Microglia"
"chr6",34907469,34908403,"region_260","Homeostatic.Microglia"
"chr6",34926909,34927824,"region_261","Homeostatic.Microglia"
"chr6",34955235,34956132,"region_262","Homeostatic.Microglia"
"chr6",37143553,37144422,"region_263","Homeostatic.Microglia"
"chr6",37196638,37197532,"region_264","Homeostatic.Microglia"
"chr6",37429577,37430476,"region_265","Homeostatic.Microglia"
"chr6",38351855,38352658,"region_266","Homeostatic.Microglia"
"chr6",38690798,38691732,"region_267","Homeostatic.Microglia"
"chr6",38691850,38692725,"region_268","Homeostatic.Microglia"
"chr6",38695127,38696036,"region_269","Homeostatic.Microglia"
"chr6",38713790,38714686,"region_270","Homeostatic.Microglia"
"chr6",38965195,38966088,"region_271","Homeostatic.Microglia"
"chr6",39003698,39004594,"region_272","Homeostatic.Microglia"
"chr6",39222235,39223136,"region_273","Homeostatic.Microglia"
"chr6",39226217,39227097,"region_274","Homeostatic.Microglia"
"chr6",39557085,39558045,"region_275","Homeostatic.Microglia"
"chr6",39781440,39782218,"region_276","Homeostatic.Microglia"
"chr6",40594644,40595559,"region_277","Homeostatic.Microglia"
"chr6",47790454,47791399,"region_278","Homeostatic.Microglia"
"chr6",48433187,48434081,"region_279","Homeostatic.Microglia"
"chr6",48629003,48629922,"region_280","Homeostatic.Microglia"
"chr6",48832197,48833108,"region_281","Homeostatic.Microglia"
"chr6",49007740,49008630,"region_282","Homeostatic.Microglia"
"chr6",49236044,49236972,"region_283","Homeostatic.Microglia"
"chr6",51129267,51130193,"region_284","Homeostatic.Microglia"
"chr6",51524868,51525734,"region_285","Homeostatic.Microglia"
"chr6",51612368,51613198,"region_286","Homeostatic.Microglia"
"chr6",51635949,51636862,"region_287","Homeostatic.Microglia"
"chr6",51880885,51881786,"region_288","Homeostatic.Microglia"
"chr6",52157873,52158771,"region_289","Homeostatic.Microglia"
"chr6",53369669,53370567,"region_290","Homeostatic.Microglia"
"chr6",53592012,53592927,"region_291","Homeostatic.Microglia"
"chr6",54127243,54127879,"region_292","Homeostatic.Microglia"
"chr6",55415657,55416566,"region_293","Homeostatic.Microglia"
"chr6",56755845,56756756,"region_294","Homeostatic.Microglia"
"chr6",56757858,56758757,"region_295","Homeostatic.Microglia"
"chr6",56808388,56809298,"region_296","Homeostatic.Microglia"
"chr6",57580761,57581647,"region_297","Homeostatic.Microglia"
"chr6",57702796,57703658,"region_298","Homeostatic.Microglia"
"chr6",65137456,65138262,"region_299","Homeostatic.Microglia"
"chr6",66534856,66535759,"region_300","Homeostatic.Microglia"
"chr6",67128904,67129776,"region_301","Homeostatic.Microglia"
"chr6",71437813,71438706,"region_302","Homeostatic.Microglia"
"chr6",71601947,71602852,"region_303","Homeostatic.Microglia"
"chr6",71951458,71952358,"region_304","Homeostatic.Microglia"
"chr6",72107608,72108444,"region_305","Homeostatic.Microglia"
"chr6",72932701,72933610,"region_306","Homeostatic.Microglia"
"chr6",72937623,72938530,"region_307","Homeostatic.Microglia"
"chr6",73009818,73010728,"region_308","Homeostatic.Microglia"
"chr6",73709344,73710111,"region_309","Homeostatic.Microglia"
"chr6",73710586,73711419,"region_310","Homeostatic.Microglia"
"chr6",82997724,82998471,"region_311","Homeostatic.Microglia"
"chr6",83137183,83138081,"region_312","Homeostatic.Microglia"
"chr6",85380341,85381203,"region_313","Homeostatic.Microglia"
"chr6",85431541,85432443,"region_314","Homeostatic.Microglia"
"chr6",86570564,86572157,"region_315","Homeostatic.Microglia"
"chr6",86584839,86585733,"region_316","Homeostatic.Microglia"
"chr6",86598896,86599790,"region_317","Homeostatic.Microglia"
"chr6",87551926,87552887,"region_318","Homeostatic.Microglia"
"chr6",87730538,87731505,"region_319","Homeostatic.Microglia"
"chr6",87742634,87743546,"region_320","Homeostatic.Microglia"
"chr6",87810427,87811140,"region_321","Homeostatic.Microglia"
"chr6",87915682,87916598,"region_322","Homeostatic.Microglia"
"chr6",88193403,88194290,"region_323","Homeostatic.Microglia"
"chr6",88268898,88269851,"region_324","Homeostatic.Microglia"
"chr6",88499827,88500691,"region_325","Homeostatic.Microglia"
"chr6",88677159,88678082,"region_326","Homeostatic.Microglia"
"chr6",88811177,88812065,"region_327","Homeostatic.Microglia"
"chr6",89299588,89300506,"region_328","Homeostatic.Microglia"
"chr6",89421431,89422322,"region_329","Homeostatic.Microglia"
"chr6",90606555,90607042,"region_330","Homeostatic.Microglia"
"chr6",91705809,91706678,"region_331","Homeostatic.Microglia"
"chr6",93657319,93658236,"region_332","Homeostatic.Microglia"
"chr6",93869812,93870720,"region_333","Homeostatic.Microglia"
"chr6",93962096,93963013,"region_334","Homeostatic.Microglia"
"chr6",94253690,94254607,"region_335","Homeostatic.Microglia"
"chr6",95098099,95099010,"region_336","Homeostatic.Microglia"
"chr6",95111805,95112727,"region_337","Homeostatic.Microglia"
"chr6",96086739,96087631,"region_338","Homeostatic.Microglia"
"chr6",97175479,97176361,"region_339","Homeostatic.Microglia"
"chr6",97487440,97488341,"region_340","Homeostatic.Microglia"
"chr6",99241371,99242275,"region_341","Homeostatic.Microglia"
"chr6",99263237,99264100,"region_342","Homeostatic.Microglia"
"chr6",100480020,100480825,"region_343","Homeostatic.Microglia"
"chr6",100563413,100564223,"region_344","Homeostatic.Microglia"
"chr6",101554989,101555850,"region_345","Homeostatic.Microglia"
"chr6",113000610,113001480,"region_346","Homeostatic.Microglia"
"chr6",113047283,113048036,"region_347","Homeostatic.Microglia"
"chr6",113336947,113337857,"region_348","Homeostatic.Microglia"
"chr6",113341310,113342222,"region_349","Homeostatic.Microglia"
"chr6",113379209,113379973,"region_350","Homeostatic.Microglia"
"chr6",113664244,113664999,"region_351","Homeostatic.Microglia"
"chr6",113677098,113678013,"region_352","Homeostatic.Microglia"
"chr6",113748187,113748981,"region_353","IEG.High.Microglia"
"chr6",114258477,114259395,"region_354","IEG.High.Microglia"
"chr6",114364371,114365250,"region_355","IEG.High.Microglia"
"chr6",114397433,114398352,"region_356","IEG.High.Microglia"
"chr6",114697640,114698542,"region_357","IEG.High.Microglia"
"chr6",115360708,115361546,"region_358","IEG.High.Microglia"
"chr6",115761813,115762750,"region_359","IEG.High.Microglia"
"chr6",115774098,115774933,"region_360","IEG.High.Microglia"
"chr6",116013602,116014395,"region_361","IEG.High.Microglia"
"chr6",116455548,116456458,"region_362","IEG.High.Microglia"
"chr6",116458600,116459488,"region_363","IEG.High.Microglia"
"chr6",116621077,116621943,"region_364","IEG.High.Microglia"
"chr6",116668771,116669629,"region_365","IEG.High.Microglia"
"chr6",117431053,117432006,"region_366","IEG.High.Microglia"
"chr6",119430261,119431165,"region_367","IEG.High.Microglia"
"chr6",120187347,120188224,"region_368","IEG.High.Microglia"
"chr6",120471679,120472563,"region_369","IEG.High.Microglia"
"chr6",120579768,120580688,"region_370","IEG.High.Microglia"
"chr6",120897900,120898801,"region_371","IEG.High.Microglia"
"chr6",120903315,120904075,"region_372","IEG.High.Microglia"
"chr6",120953752,120954623,"region_373","IEG.High.Microglia"
"chr6",121083663,121084580,"region_374","IEG.High.Microglia"
"chr6",122570718,122571665,"region_375","IEG.High.Microglia"
"chr6",122596427,122597266,"region_376","IEG.High.Microglia"
"chr6",122597791,122598657,"region_377","IEG.High.Microglia"
"chr6",122650222,122651204,"region_378","IEG.High.Microglia"
"chr6",122654044,122654973,"region_379","IEG.High.Microglia"
"chr6",122657387,122658313,"region_380","IEG.High.Microglia"
"chr6",122742192,122743111,"region_381","IEG.High.Microglia"
"chr6",122862537,122863435,"region_382","IEG.High.Microglia"
"chr6",122921159,122922092,"region_383","IEG.High.Microglia"
"chr6",123227122,123228184,"region_384","IEG.High.Microglia"
"chr6",124358685,124359630,"region_385","IEG.High.Microglia"
"chr6",124373343,124374251,"region_386","IEG.High.Microglia"
"chr6",124702463,124703379,"region_387","IEG.High.Microglia"
"chr6",124716695,124717519,"region_388","IEG.High.Microglia"
"chr6",124720721,124721629,"region_389","IEG.High.Microglia"
"chr6",124738257,124739185,"region_390","IEG.High.Microglia"
"chr6",124805295,124806197,"region_391","IEG.High.Microglia"
"chr6",124817629,124818538,"region_392","IEG.High.Microglia"
"chr6",124898044,124898964,"region_393","IEG.High.Microglia"
"chr6",125148176,125148899,"region_394","IEG.High.Microglia"
"chr6",125149005,125149704,"region_395","IEG.High.Microglia"
"chr6",125330662,125331561,"region_396","IEG.High.Microglia"
"chr6",125410776,125411667,"region_397","IEG.High.Microglia"
"chr6",125500973,125501883,"region_398","IEG.High.Microglia"
"chr6",127471821,127472728,"region_399","IEG.High.Microglia"
"chr6",128349447,128350346,"region_400","IEG.High.Microglia"
"chr6",128408261,128409159,"region_401","IEG.High.Microglia"
"chr6",128888495,128889402,"region_402","IEG.High.Microglia"
"chr6",128890703,128891619,"region_403","IEG.High.Microglia"
"chr6",129057774,129058674,"region_404","IEG.High.Microglia"
"chr6",129199768,129200692,"region_405","IEG.High.Microglia"
"chr6",129229890,129230809,"region_406","IEG.High.Microglia"
"chr6",129235631,129236558,"region_407","IEG.High.Microglia"
"chr6",129349368,129350334,"region_408","IEG.High.Microglia"
"chr6",134044719,134045652,"region_409","IEG.High.Microglia"
"chr6",134115098,134115928,"region_410","IEG.High.Microglia"
"chr6",134130514,134131426,"region_411","IEG.High.Microglia"
"chr6",134152504,134152947,"region_412","IEG.High.Microglia"
"chr6",134155975,134156892,"region_413","IEG.High.Microglia"
"chr6",134161021,134161967,"region_414","IEG.High.Microglia"
"chr6",134261743,134262618,"region_415","IEG.High.Microglia"
"chr6",134922558,134923421,"region_416","IEG.High.Microglia"
"chr6",135444306,135445254,"region_417","IEG.High.Microglia"
"chr6",137386097,137386992,"region_418","IEG.High.Microglia"
"chr6",137412896,137413724,"region_419","IEG.High.Microglia"
"chr6",137570493,137571385,"region_420","IEG.High.Microglia"
"chr6",137747284,137748194,"region_421","IEG.High.Microglia"
"chr6",142503887,142504787,"region_422","IEG.High.Microglia"
"chr6",142814310,142815204,"region_423","IEG.High.Microglia"
"chr6",145301837,145302476,"region_424","IEG.High.Microglia"
"chr6",145302790,145303357,"region_425","IEG.High.Microglia"
"chr6",146662473,146663359,"region_426","IEG.High.Microglia"
"chr6",146686596,146687357,"region_427","IEG.High.Microglia"
"chr6",146776363,146777281,"region_428","IEG.High.Microglia"
"chr6",148354206,148355108,"region_429","IEG.High.Microglia"
"chr6",149193164,149194105,"region_430","IEG.High.Microglia"
"chr3",7502984,7503908,"region_431","IEG.High.Microglia"
"chr3",9030718,9031618,"region_432","IEG.High.Microglia"
"chr3",9500487,9501349,"region_433","IEG.High.Microglia"
"chr3",9643976,9644887,"region_434","IEG.High.Microglia"
"chr3",9696309,9697215,"region_435","IEG.High.Microglia"
"chr3",9725133,9726020,"region_436","IEG.High.Microglia"
"chr3",9880691,9881570,"region_437","IEG.High.Microglia"
"chr3",10288254,10289171,"region_438","IEG.High.Microglia"
"chr3",14641231,14642147,"region_439","IEG.High.Microglia"
"chr3",19953649,19954559,"region_440","IEG.High.Microglia"
"chr3",20076368,20077252,"region_441","IEG.High.Microglia"
"chr3",21952737,21953557,"region_442","IEG.High.Microglia"
"chr3",25143568,25144548,"region_443","IEG.High.Microglia"
"chr3",27081060,27081968,"region_444","IEG.High.Microglia"
"chr3",27191708,27192596,"region_445","IEG.High.Microglia"
"chr3",27193653,27194575,"region_446","IEG.High.Microglia"
"chr3",28080797,28081690,"region_447","IEG.High.Microglia"
"chr3",28098961,28099744,"region_448","IEG.High.Microglia"
"chr3",28171038,28171918,"region_449","IEG.High.Microglia"
"chr3",30975111,30976020,"region_450","IEG.High.Microglia"
"chr3",31083591,31084535,"region_451","IEG.High.Microglia"
"chr3",32420910,32421792,"region_452","IEG.High.Microglia"
"chr3",34068684,34069599,"region_453","IEG.High.Microglia"
